Date in days from 1900,Gaspre
22007,347
22952,346
22981,344
22982,344
22983,344
22985,344
23294,344
23295,344
23298,344
23331,345
23335,345
23337,345
23338,344
23865,344
23866,347
23868,345
23907,348
23918,348
23928,348
23966,345
24009,348
24015,348
24026,347
24028,347
24145,346
24201,344
24258,344
24448,344
24538,345
24539,346
24554,345
24560,345
24561,345
24566,345
24568,345
24573,345
24629,342
24668,343
24670,343
24671,343
24674,343
24678,343
24681,343
24684,343
24709,345
24714,345
24719,343
24734,345
24735,345
24736,343
24740,345
24741,345
24750,344
24751,344
24764,341
24765,341
24768,341
24775,344
24777,343
24778,343
24820,345
24824,343
24896,341
24917,344
24923,338
24926,346
24929,346
24932,343
24944,345
24960,347
24961,340
24973,344
24975,346
24978,346
24994,341
24995,341
24996,337
24999,345
25000,341
25008,341
25009,340
25012,340
25014,341
25015,339
25017,341
25030,343
25031,346
25042,341
25048,338
25049,338
25051,340
25055,337
25057,343
25063,345
25071,346
25073,336
25078,347
25083,337
25084,341
25086,344
25093,347
25096,341
25100,342
25105,342
25111,341
25112,343
25113,336
25119,333
25125,344
25126,341
25129,343
25132,333
25141,336
25154,331
25182,346
25185,334
25206,341
25211,345
25216,343
25239,327
25268,340
25275,330
25280,324
25287,345
25289,346
25294,344
25314,334
25315,334
25316,337
25317,337
25318,339
25324,342
25336,329
25351,329
25352,328
25356,327
25358,336
25365,327
25378,329
25379,329
25386,325
25387,330
25391,331
25392,331
25394,331
25398,332
25399,332
25408,342
25411,343
25413,336
25414,333
25416,345
25427,328
25428,333
25429,333
25434,333
25440,340
25441,334
25442,338
25444,336
25448,344
25449,344
25454,340
25462,326
25463,340
25464,332
25465,332
25469,334
25486,329
25498,344
25528,344
25576,344
25580,330
25581,336
25582,339
25591,341
25595,329
25625,318
25633,338
25636,338
25637,339
25638,338
25639,334
25640,339
25643,327
25644,328
25659,343
25660,342
25666,344
25681,340
25682,340
25685,321
25686,320
25701,327
25713,328
25714,327
25728,343
25729,342
25731,336
25734,336
25735,314
25736,314
25737,315
25738,314
25741,314
25742,314
25743,314
25748,330
25749,330
25750,342
25751,341
25787,343
25792,324
25794,324
25800,326
25804,327
25807,322
25811,324
25813,325
25814,318
25817,325
25819,324
25820,323
25821,324
25822,324
25832,340
25833,331
25835,339
25849,323
25850,324
25856,343
25857,343
25884,323
25885,323
25890,325
25891,324
25904,337
25905,336
25916,340
25924,334
25926,334
25930,319
25940,328
25941,328
25945,329
25946,331
25951,338
25955,338
25959,338
25960,342
25976,331
25989,331
26003,320
26007,318
26008,335
26009,332
26010,325
26036,316
26037,316
26045,299
26051,338
26056,314
26057,342
26067,301
26078,308
26081,310
26098,327
26101,331
26109,318
26122,298
26126,297
26128,322
26137,310
26152,339
26154,302
26155,296
26164,333
26169,313
26170,313
26171,340
26176,297
26200,336
26203,324
26211,309
26212,328
26214,317
26217,326
26235,315
26253,332
26254,339
26274,327
26296,338
26304,335
26322,307
26347,338
26361,336
26379,330
26380,304
26400,300
26401,308
26415,298
26417,292
26423,333
26427,295
26428,302
26429,302
26431,282
26437,333
26438,284
26444,287
26445,299
26450,323
26456,285
26462,337
26471,288
26476,318
26477,318
26484,302
26485,291
26486,305
26487,305
26497,295
26519,332
26521,301
26522,327
26533,289
26535,313
26539,317
26540,336
26542,321
26548,285
26550,299
26553,331
26554,304
26562,285
26567,279
26574,303
26575,284
26578,302
26581,296
26588,293
26597,292
26604,308
26612,324
26623,300
26630,312
26633,279
26637,296
26639,326
26641,329
26644,315
26652,300
26667,297
26668,291
26697,322
26704,323
26731,333
26735,311
26736,293
26742,271
26749,299
26752,285
26759,288
26765,286
26766,284
26787,306
26788,269
26791,275
26798,284
26802,307
26805,268
26812,305
26814,319
26819,288
26827,293
26828,318
26833,269
26847,293
26856,283
26861,292
26877,275
26890,283
26891,280
26892,281
26898,292
26903,303
26911,282
26913,275
26914,305
26917,274
26932,278
26938,280
26940,335
26945,267
26956,280
26970,300
26987,322
27002,284
27008,282
27038,298
27039,310
27043,285
27066,326
27085,311
27103,295
27106,282
27108,272
27117,277
27129,332
27143,272
27145,265
27155,279
27169,288
27199,306
27204,302
27226,315
27228,315
27236,301
27239,277
27240,323
27254,289
27257,329
27261,320
27267,271
27276,304
27278,275
27281,269
27288,265
27291,272
27297,308
27324,269
27338,301
27344,271
27347,280
27351,282
27352,286
27354,292
27355,259
27358,286
27365,290
27369,272
27396,309
27401,299
27409,263
27414,291
27430,264
27436,264
27438,278
27445,274
27453,276
27458,268
27460,255
27466,293
27467,266
27473,267
27474,267
27480,258
27487,264
27495,272
27499,278
27508,324
27512,285
27513,260
27527,262
27528,253
27530,260
27540,288
27541,277
27550,289
27554,314
27562,253
27564,322
27577,259
27591,295
27596,282
27599,260
27603,270
27613,261
27625,281
27633,320
27639,272
27640,270
27647,261
27649,266
27654,285
27655,264
27660,261
27661,268
27663,273
27667,263
27674,264
27677,257
27683,261
27688,290
27697,267
27698,285
27701,280
27711,273
27712,259
27723,285
27745,297
27746,253
27750,252
27757,246
27758,257
27772,283
27778,275
27801,248
27802,249
27809,263
27810,256
27816,258
27817,271
27820,250
27824,249
27843,263
27850,259
27852,248
27872,313
27873,264
27878,274
27883,254
27886,250
27891,289
27912,253
27913,254
27914,260
27932,263
27939,273
27940,295
27943,253
27946,259
27981,263
27982,254
27997,266
28005,254
28013,256
28030,287
28047,277
28048,285
28051,254
28062,256
28066,254
28072,252
28088,256
28090,244
28102,251
28104,267
28108,254
28110,252
28111,258
28115,295
28116,248
28118,244
28129,252
28146,260
28151,256
28153,249
28159,248
28166,237
28173,243
28174,286
28177,252
28180,243
28187,250
28193,257
28194,247
28199,266
28201,244
28205,300
28209,278
28215,240
28216,285
28222,270
28230,252
28236,249
28243,275
28247,262
28248,246
28250,248
28256,275
28257,243
28265,246
28270,275
28278,247
28296,251
28298,261
28300,240
28304,278
28312,247
28317,250
28335,246
28339,240
28342,251
28346,273
28348,246
28410,277
28412,249
28418,263
28426,245
28432,246
28508,249
28517,246
28521,241
28522,239
28538,237
28543,257
28545,239
28548,241
28550,242
28551,243
28552,239
28558,236
28563,241
28565,258
28566,263
28580,235
28583,246
28585,234
28590,232
28597,243
28600,240
28606,267
28608,239
28621,251
28627,240
28635,264
28636,263
28649,240
28650,256
28654,242
28662,263
28667,239
28677,245
28679,241
28685,238
28691,239
28699,238
28705,239
28712,237
28719,238
28739,268
28741,259
28745,237
28747,266
28748,239
28759,238
28766,234
28767,237
28772,256
28780,256
28786,237
28821,239
28852,239
28853,235
28916,231
28919,234
28921,244
28922,244
28926,247
28929,251
28930,235
28933,243
28935,252
28936,229
28940,238
28943,215
28949,282
28950,232
28954,223
28957,230
28962,268
28964,246
28968,222
28971,230
28972,255
28976,225
28983,255
28985,248
28989,220
28992,235
28997,226
28998,230
29005,227
29013,231
29014,233
29017,240
29024,256
29026,232
29028,236
29032,234
29033,231
29034,280
29041,232
29046,242
29049,244
29077,224
29089,248
29096,249
29103,230
29110,227
29116,230
29123,228
29129,248
29131,268
29133,229
29139,226
29140,228
29146,236
29154,231
29159,231
29160,233
29161,228
29164,226
29165,231
29172,242
29202,265
29203,225
29231,236
29234,237
29237,230
29251,226
29279,273
29280,237
29284,230
29285,244
29287,236
29291,236
29292,257
29294,239
29297,224
29299,261
29301,253
29308,218
29311,222
29314,227
29322,217
29329,223
29332,238
29336,229
29339,219
29342,229
29347,221
29353,246
29354,245
29357,223
29360,223
29362,237
29376,223
29381,223
29383,224
29385,222
29389,241
29396,223
29404,226
29413,223
29416,248
29419,247
29434,229
29448,230
29451,223
29455,224
29461,223
29465,247
29469,228
29476,226
29480,239
29487,226
29488,225
29490,225
29496,225
29502,225
29509,235
29510,234
29514,227
29516,225
29517,227
29521,225
29525,225
29529,267
29535,222
29538,225
29549,220
29571,254
29601,225
29607,229
29608,237
29614,223
29640,247
29644,218
29647,238
29661,226
29664,235
29668,230
29675,216
29678,219
29685,230
29689,218
29698,227
29700,214
29703,228
29711,226
29714,237
29717,217
29724,221
29731,219
29738,219
29746,221
29747,292
29749,291
29752,224
29754,218
29759,232
29760,227
29761,236
29766,219
29767,232
29768,238
29769,219
29781,221
29803,290
29810,236
29818,219
29826,218
29829,307
29830,218
29840,221
29847,220
29852,219
29854,222
29858,350
29860,218
29864,278
29867,291
29868,245
29872,232
29878,262
29880,218
29881,216
29885,259
29892,218
29903,217
29907,215
29910,220
29913,217
29915,305
29927,215
29929,215
29934,209
29935,257
29941,205
29948,243
29950,288
29956,223
29962,232
29963,218
29983,288
29999,219
30000,213
30001,220
30007,229
30018,231
30021,212
30026,212
30027,211
30028,212
30034,214
30035,220
30039,209
30040,234
30041,211
30046,210
30049,212
30055,209
30063,223
30064,229
30077,228
30078,210
30081,221
30082,212
30088,229
30095,211
30096,212
30097,218
30098,213
30099,212
30103,210
30119,213
30123,216
30127,214
30146,230
30152,215
30154,286
30155,215
30167,221
30174,214
30181,230
30190,220
30193,212
30201,213
30202,212
30203,216
30210,213
30216,214
30218,214
30221,220
30224,212
30228,213
30235,222
30237,213
30250,213
30251,214
30252,216
30259,213
30260,221
30274,215
30279,250
30280,235
30320,227
30335,284
30336,214
30347,216
30354,229
30365,212
30370,209
30372,207
30379,214
30385,208
30392,210
30393,208
30400,207
30403,213
30406,211
30411,231
30412,215
30414,206
30417,208
30419,209
30420,230
30421,207
30427,210
30445,223
30449,220
30452,207
30454,207
30461,209
30477,210
30487,207
30494,213
30515,245
30526,211
30530,209
30539,214
30546,212
30547,208
30551,219
30553,208
30560,209
30565,211
30566,214
30572,209
30574,209
30581,208
30582,210
30587,222
30588,209
30592,214
30594,209
30603,211
30612,210
30617,208
30623,212
30629,208
30631,207
30634,207
30644,227
30649,242
30686,222
30691,280
30713,217
30721,209
30742,204
30750,205
30756,201
30757,206
30767,203
30774,201
30776,205
30778,201
30781,201
30784,203
30785,207
30806,205
30809,211
30812,206
30813,200
30820,201
30825,200
30834,200
30845,209
30846,209
30847,200
30851,204
30852,203
30865,203
30874,204
30889,203
30903,211
30907,212
30911,202
30917,201
30921,208
30925,200
30929,202
30932,201
30939,201
30945,209
30950,212
30951,202
30952,247
30956,203
30958,200
30966,203
30972,214
30986,201
30987,200
30988,207
30995,201
31021,211
31023,203
31044,235
31055,207
31062,202
31069,216
31082,215
31104,201
31117,193
31120,191
31127,195
31128,195
31133,214
31134,194
31140,207
31141,205
31146,195
31149,193
31152,200
31153,205
31154,197
31155,191
31159,203
31166,196
31177,210
31182,199
31184,186
31205,194
31211,196
31217,197
31222,190
31223,208
31226,194
31229,199
31231,197
31238,211
31239,216
31258,199
31274,205
31281,191
31282,202
31289,204
31292,195
31299,198
31306,205
31309,206
31310,200
31317,195
31322,195
31324,217
31327,197
31329,211
31330,191
31341,193
31344,191
31345,194
31352,190
31366,189
31378,197
31379,192
31398,204
31477,200
31478,210
31482,209
31483,190
31489,190
31490,183
31492,191
31495,206
31496,197
31498,201
31512,190
31520,183
31523,199
31526,182
31539,196
31541,188
31548,191
31554,187
31567,199
31568,189
31575,192
31581,193
31586,187
31588,195
31589,196
31595,190
31601,190
31602,194
31604,207
31611,195
31625,188
31629,191
31642,188
31649,210
31652,203
31659,188
31664,187
31672,198
31680,203
31681,193
31691,212
31698,187
31707,187
31708,195
31765,188
31805,200
31806,190
31818,204
31824,185
31831,187
31863,189
31868,206
31875,184
31876,184
31880,183
31882,187
31888,187
31895,187
31896,186
31904,184
31905,201
31915,184
31931,186
31932,191
31945,189
31953,190
31957,188
31961,193
31974,189
31987,187
31993,197
31994,193
32013,191
32021,201
32023,186
32037,188
32051,186
32055,187
32056,188
32057,186
32063,186
32065,194
32072,194
32078,195
32149,220
32153,201
32177,218
32204,186
32226,185
32227,189
32240,185
32247,183
32248,191
32253,196
32254,189
32258,200
32259,198
32265,191
32266,196
32267,186
32280,195
32286,186
32289,185
32295,184
32296,185
32301,189
32309,191
32310,184
32311,186
32314,193
32323,184
32330,185
32332,185
32338,183
32346,185
32350,198
32351,196
32352,186
32353,190
32370,184
32373,192
32379,185
32398,187
32401,187
32408,185
32416,185
32422,185
32428,193
32429,185
32436,186
32441,192
32442,186
32449,185
32458,185
32525,194
32533,186
32534,213
32541,185
32542,198
32576,183
32583,186
32587,191
32611,188
32624,184
32625,184
32631,184
32633,191
32638,190
32661,191
32666,185
32667,184
32673,185
32674,190
32681,183
32688,187
32696,183
32700,183
32701,184
32702,183
32708,184
32710,192
32715,184
32723,186
32737,188
32744,194
32751,184
32764,184
32765,184
32771,183
32772,183
32773,196
32779,184
32786,183
32790,183
32794,184
32806,186
32807,185
32814,183
32821,187
32849,175
32853,176
32856,175
32911,183
32923,196
32927,200
32938,187
32944,182
32946,181
32947,191
32955,184
32968,182
32974,189
32975,184
32982,183
32989,182
32996,179
33001,188
33003,182
33022,187
33024,180
33039,182
33051,181
33052,182
33063,182
33073,182
33077,180
33080,184
33086,181
33093,182
33095,181
33106,181
33107,184
33108,183
33115,183
33121,182
33129,181
33134,181
33135,186
33136,183
33140,178
33149,182
33150,183
33158,190
33163,225
33164,181
33171,182
33179,180
33196,183
33211,180
33274,181
33277,204
33281,194
33284,178
33295,176
33304,176
33309,189
33337,184
33338,180
33365,182
33366,184
33373,183
33374,187
33403,180
33406,177
33408,174
33409,177
33410,177
33416,186
33422,180
33435,177
33436,177
33438,175
33444,175
33451,176
33457,176
33470,174
33483,174
33484,183
33486,181
33487,178
33491,180
33492,176
33493,177
33499,222
33500,177
33507,174
33512,175
33513,177
33529,178
33535,181
33549,177
33550,173
33577,255
33581,172
33582,172
33590,174
33674,172
33675,186
33695,169
33718,175
33721,181
33732,183
33737,183
33742,179
33749,172
33750,169
33772,198
33779,179
33784,171
33787,181
33788,172
33791,174
33792,173
33794,172
33799,171
33806,169
33809,172
33815,172
33816,170
33819,171
33821,174
33833,170
33848,171
33849,186
33850,170
33857,174
33861,187
33863,180
33868,171
33869,171
33870,171
33875,168
33882,176
33885,175
33899,172
33906,176
33913,170
33914,168
33918,169
33919,167
33920,219
33928,173
33934,174
33945,252
33948,168
33982,167
33991,172
33997,182
34002,171
34032,167
34058,172
34079,177
34094,180
34102,175
34122,167
34123,175
34131,167
34137,168
34141,165
34148,183
34149,163
34152,194
34155,165
34156,163
34159,168
34163,163
34170,170
34177,172
34178,163
34180,168
34187,169
34190,171
34191,165
34198,163
34199,170
34205,251
34211,163
34212,166
34225,164
34232,183
34233,176
34236,182
34246,166
34253,166
34254,215
34255,165
34261,165
34263,165
34270,176
34277,166
34281,165
34282,169
34340,168
34352,174
34373,176
34375,179
34382,161
34394,166
34457,163
34463,170
34487,161
34492,161
34494,162
34498,161
34500,181
34502,173
34513,162
34515,190
34516,162
34519,213
34530,162
34536,163
34544,161
34547,161
34551,163
34554,160
34555,174
34563,163
34565,162
34569,163
34579,163
34586,161
34597,164
34600,171
34604,212
34617,162
34625,161
34634,161
34639,165
34640,166
34642,164
34645,165
34653,162
34662,161
34663,161
34676,162
34716,181
34717,173
34718,159
34746,158
34765,162
34772,174
34780,168
34781,171
34822,158
34827,161
34836,160
34843,161
34858,159
34876,222
34878,174
34886,160
34891,173
34893,158
34913,162
34914,162
34921,209
34928,185
34932,158
34943,160
34954,160
34956,173
34960,179
34976,160
34983,164
34990,161
35004,161
35122,164
35129,244
35145,155
35156,153
35186,153
35188,155
35191,154
35226,157
35229,155
35250,167
35299,161
35307,157
35312,156
35314,155
35334,154
35339,155
35345,164
35346,153
35355,156
35359,153
35369,153
35383,158
35479,152
35507,152
35524,147
35542,156
35543,148
35548,149
35562,242
35564,175
35571,159
35574,153
35576,176
35578,151
35580,150
35606,155
35618,147
35625,150
35646,167
35676,152
35677,153
35683,153
35695,149
35698,149
35710,149
35711,155
35727,154
35784,147
35837,154
35838,149
35844,174
35851,173
35860,166
35865,150
35874,150
35878,240
35887,156
35892,150
35899,145
35977,147
35982,155
35993,150
36046,148
36053,151
36108,147
36111,144
36116,166
36117,145
36118,151
36118,145
36119,146
36126,144
36132,169
36217,162
36224,164
36230,142
36231,165
36236,146
36242,163
36245,146
36251,143
36257,238
36262,144
36264,148
36271,172
36301,147
36416,148
36418,148
36419,143
36432,149
36439,153
36446,143
36453,151
36462,143
36467,146
36467,147
36607,138
36614,143
36623,143
36630,139
36642,142
36657,143
36663,143
36665,141
36726,142
36733,146
36808,141
36810,145
36815,145
36822,159
36824,157
36830,147
36846,187
36850,146
36852,152
36858,163
36872,234
36878,139
36928,160
36931,136
36934,137
36959,136
36964,140
36983,140
37001,144
37001,161
37144,154
37186,160
37207,142
37207,137
37210,136
37228,137
37322,133
37340,136
37351,165
37390,232
37400,139
37405,138
37411,152
37411,136
37412,154
37421,141
37431,136
37438,140
37463,136
37473,139
37474,135
37494,137
37501,136
37504,145
37505,135
37522,141
37546,137
37585,136
37641,132
37721,134
37739,140
37746,132
37763,163
37764,132
37860,138
37873,134
37886,133
37888,135
37893,134
37903,141
37921,187
38033,127
38075,191
38079,186
38082,153
38084,127
38266,129
38267,130
38384,129
38435,124
38441,126
38463,122
38464,119
38523,125
38525,186
38537,132
38755,226
38784,120
38785,120
38800,122
38803,120
38807,120
38828,118
38832,118
38846,118
38852,124
38859,124
38888,128
38939,119
38979,123
38986,222
38993,122
38999,143
39002,142
39003,223
39006,122
39119,139
39154,138
39156,141
39183,152
39185,118
39196,118
39206,117
39216,121
39251,118
39265,219
39364,126
39478,117
39483,180
39497,126
39514,129
39546,126
39602,119
39623,118
39696,113
39723,117
39840,114
39861,136
39862,124
39882,110
39939,114
39967,178
39969,155
39975,139
39981,108
40003,202
40036,109
40049,143
40064,115
40086,117
40323,102
40329,104
40331,107
40338,101
40346,108
40463,113
40582,100
40590,111
40633,129
40679,100
40732,97
40751,103
40778,101
40820,108
40836,124
40854,97
40947,121
40949,102
40988,176
41019,93
41037,135
41051,90
41054,95
41064,141
41064,142
41087,91
41109,90
41110,91
41148,91
41150,91
41156,178
41192,95
41222,89
41306,354
41310,107
41334,354
41338,104
41339,128
41344,84
41351,84
41361,88
41373,110
41380,105
41410,92
41458,90
41472,88
41529,91
41537,93
41555,84
41752,161
41806,166
41808,166
41817,79
41905,96
41925,78
41939,78
41948,109
41975,72
41978,72
41982,71